,Route,To,From,Distance
251,5,429,428,0.008383447143031082
252,5,430,429,0.006040198755011121
253,5,431,430,0.0041307684515180625
254,5,432,431,0.005663953742746261
255,5,433,432,0.006784128094300091
256,5,434,433,0.009957291850702515
257,5,603,434,0.009251709139408933
258,5,391,603,0.006057867364014844
259,5,392,391,0.01193902931564004
260,5,397,392,0.030516312703219636
261,5,613,397,0.021001429475153273
262,5,610,613,0.013943982967576951
263,5,602,610,0.021545329377848536
264,5,622,602,0.02584527159849382
265,5,628,622,0.006016368755313694
266,5,413,628,0.0036658327839665583
267,5,414,413,0.003515794220379455
268,5,620,414,0.026943681355751828
269,5,337,620,0.010515951930279904
270,5,617,337,0.004805730433553765
271,5,626,617,0.023846940139138708
272,5,353,626,0.007956576210917493
273,5,354,353,0.005143711694877588
274,5,355,354,0.006124589782182487
275,5,356,355,0.005842525652488913
276,5,357,356,0.005777930511874003
277,5,358,357,0.005160180713889414
278,5,359,358,0.007172344247176245
279,6,361,360,0.007192343707027882
280,6,362,361,0.004771773045736549
281,6,363,362,0.007728243073300431
282,6,364,363,0.005316603427003261
283,6,365,364,0.004744352959038153
284,6,366,365,0.009649024665743413
285,6,367,366,0.007015361216651639
286,6,368,367,0.007178756716863582
287,6,369,368,0.004736604057762773
288,6,370,369,0.007415582040532878
289,6,371,370,0.007021515861974372
290,6,372,371,0.007622947723820463
291,6,373,372,0.008637694426182431
292,6,374,373,0.0049213496116342235
293,6,375,374,0.0072109240739398825
294,6,376,375,0.005643616570949423
295,6,377,376,0.007486688453511204
296,6,392,377,0.013092371061037415
297,6,393,392,0.006821554808119832
298,6,394,393,0.0044673896181015495
299,6,395,394,0.005473242548989969
300,6,396,395,0.006098167593628335
301,6,397,396,0.007655962447662862
302,6,398,397,0.007269223411061466
303,6,399,398,0.006781405237855831
304,6,613,399,0.0069508009610403584
305,6,612,613,0.006707590476467866
306,6,610,612,0.0072598033719961635
307,6,403,610,0.0077307832074155714
308,6,404,403,0.0037220243147938303
309,6,405,404,0.00396618973323289
310,6,602,405,0.006179189671800108
311,6,407,602,0.00475261212387703
312,6,619,407,0.005478342997658672
313,6,409,619,0.004384212586085978
314,6,623,409,0.0046422740117392745
315,6,622,623,0.006959345371508638
316,A,144,143,0.007810758285841486
317,A,145,144,0.009464789590906774
318,A,146,145,0.00824872414376496
319,A,147,146,0.00464054317942178
320,A,605,147,0.006673532273086829
321,A,151,605,0.01660196136002857
322,A,153,151,0.015906803732996657
323,A,614,153,0.051931699548543014
324,A,611,614,0.0135911789407658
325,A,164,611,0.006211020608566725
326,A,618,164,0.014095979462242465
327,A,167,618,0.008638058230876315
328,A,169,167,0.012449214915003733
329,A,624,169,0.007505138573007312
330,A,628,624,0.004014801614026846
331,A,173,628,0.020307762062817418
332,A,636,173,0.007691275706932162
333,A,175,636,0.0045092789889274
334,A,179,175,0.035498855488582774
335,A,181,179,0.019726258768461773
336,A,621,181,0.025433864610004082
337,A,188,621,0.03334138492924014
338,A,189,188,0.0072502430993776285
339,A,190,189,0.0064895526039901496
340,A,191,190,0.007536794278745169
341,A,192,191,0.007639508164793098
342,A,193,192,0.006301779431238115
343,A,194,193,0.006110220945272581
344,A,195,194,0.006567923949014559
345,A,196,195,0.017157154688357087
346,A,197,196,0.004287900418605467
347,A,198,197,0.008619838339550727
348,A,199,198,0.05404122696609294
349,A,204,199,0.025801453951270058
350,A,205,204,0.008525691350269518
351,A,206,205,0.012521934435216337
352,A,207,206,0.008213480930768215
353,A,208,207,0.008266190658339377
354,A,209,208,0.00712851632528602
355,B,212,211,0.008936016841960086
356,B,213,212,0.007089620864340141
357,B,214,213,0.006001939103320556
358,B,215,214,0.007240213049355254
359,B,216,215,0.0066662118928177486
360,B,217,216,0.0073576172773532214
361,B,218,217,0.007485841636055531
362,B,604,218,0.009295616009708168
363,B,220,604,0.012754460553075171
364,B,151,220,0.008045368419153142
365,B,152,151,0.007697000064961802
366,B,153,152,0.008250446109151651
367,B,154,153,0.006537208655078767
368,B,155,154,0.005553392206571047
369,B,156,155,0.0055850666961105265
370,B,157,156,0.005505730105985859
371,B,158,157,0.007151746360162419
372,B,159,158,0.005484774744688981
373,B,160,159,0.0072319575496547755
374,B,614,160,0.009034770611362795
375,B,277,614,0.00543490174704288
376,B,225,277,0.004210280869490908
377,B,609,225,0.005497279418034081
378,B,607,609,0.0055556750264919505
379,B,167,607,0.021509968503004417
380,B,619,167,0.008245505563637085
